,Movie Title,Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD),Domestic Box Office (USD),budget
521,Happy Death Day,"Horror, Mystery, Thriller",tt5308322,96.0,6.5,125479266,55683845,4800000
522,Legend of the Guardians: The Owls of Ga'Hoole,"Animation, Action, Adventure",tt1219342,97.0,7.0,140073390,55675313,80000000
523,The BFG,"Adventure, Family, Fantasy",tt3691740,117.0,6.4,195243411,55483770,140000000
524,Neighbors 2: Sorority Rising,Comedy,tt4438848,92.0,5.7,108007109,55455765,35000000
525,The Shallows,"Drama, Horror, Thriller",tt4052882,86.0,6.3,119100758,55124043,17000000
526,I Am Number Four,"Action, Adventure, Sci-Fi",tt1464540,111.0,6.1,149878437,55100437,50000000
527,The Nutcracker and the Four Realms,"Adventure, Family, Fantasy",tt5523010,99.0,5.5,173961069,54858851,120000000
528,Office Christmas Party,Comedy,tt1711525,105.0,5.8,114501299,54767494,45000000
529,This Means War,"Action, Comedy, Romance",tt1596350,103.0,6.3,156491279,54760791,65000000
530,Project X,Comedy,tt1636826,88.0,6.7,102731865,54731865,12000000
531,Pet Sematary,"Horror, Mystery, Thriller",tt0837563,101.0,6.0,113118226,54724696,21000000
532,Source Code,"Action, Drama, Mystery",tt0945513,93.0,7.5,147332697,54712227,32000000
533,Assassin's Creed,"Action, Adventure, Sci-Fi",tt2094766,115.0,5.8,240697856,54647948,125000000
534,What Men Want,"Comedy, Fantasy, Romance",tt7634968,117.0,4.9,72216294,54611903,20000000
535,Tag,Comedy,tt1967669,91.0,4.6,78130625,54547470,2500000
536,Tag,Comedy,tt1967669,91.0,4.6,78130625,54547470,2500000
537,New Year's Eve,"Comedy, Romance",tt1598822,113.0,5.7,142044638,54544638,56000000
538,"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",tt5027774,115.0,8.2,160192031,54513740,15000000
539,Horrible Bosses 2,"Comedy, Crime",tt2170439,108.0,6.3,107645357,54445357,42000000
540,The Woman in Black,"Drama, Fantasy, Horror",tt1596365,95.0,6.4,128955898,54333290,17000000
541,The Hundred-Foot Journey,"Comedy, Drama",tt2980648,122.0,7.3,89514453,54240821,22000000
542,Evil Dead,"Fantasy, Horror, Thriller",tt1288558,91.0,6.5,97542952,54239856,17000000
543,The Hateful Eight,"Crime, Drama, Mystery",tt3460252,168.0,7.8,155760117,54117416,44000000
544,Barbershop: The Next Cut,"Comedy, Drama",tt3628584,111.0,5.9,55030051,54030051,20000000
545,Insidious,"Horror, Mystery, Thriller",tt1591095,103.0,6.9,99557032,54009150,1500000
546,Paranormal Activity 4,"Horror, Mystery, Thriller",tt2109184,88.0,4.6,142802657,53921300,5000000
547,Focus,"Comedy, Crime, Drama",tt2381941,105.0,6.6,158762963,53862963,50100000
548,A Simple Favor,"Comedy, Crime, Drama",tt7040874,117.0,6.9,97644617,53548586,20000000
549,Life as We Know It,"Comedy, Drama, Romance",tt1055292,114.0,6.6,105734416,53374681,38000000
550,Parasite,"Comedy, Drama, Thriller",tt6751668,132.0,8.7,254696104,53367844,11363000
551,Madea's Big Happy Family,"Comedy, Drama",tt1787759,106.0,4.7,54161287,53345287,25000000
552,RED 2,"Action, Adventure, Comedy",tt1821694,116.0,6.6,148075565,53262560,84000000
553,The Devil Inside,Horror,tt1560985,83.0,4.2,101758490,53261944,1000000
554,Letters to Juliet,"Adventure, Comedy, Drama",tt0892318,105.0,6.6,79293444,53032453,30000000
555,Life of the Party,Comedy,tt1826727,84.0,7.6,65859911,52856061,0
556,13 Hours,"Action, Drama, History",tt4172430,144.0,7.3,69411370,52853219,50000000
557,Diary of a Wimpy Kid: Rodrick Rules,"Comedy, Family",tt1650043,99.0,6.6,72526996,52698535,10000000
558,No Good Deed,"Action, Crime, Drama",tt2011159,84.0,5.6,54323210,52543632,13200000
559,Wall Street: Money Never Sleeps,Drama,tt1027718,133.0,6.2,134748021,52474616,70000000
560,A Madea Christmas,"Comedy, Drama, Romance",tt2609758,100.0,4.9,53396635,52440051,47000000
561,Southpaw,"Drama, Sport",tt1798684,124.0,7.4,91970827,52421953,30000000
562,Insidious: Chapter 3,"Horror, Mystery, Thriller",tt3195644,97.0,6.1,112983889,52218558,10000000
563,Selma,"Biography, Drama, History",tt1020072,128.0,7.5,66787908,52076908,20000000
564,Predators,"Action, Adventure, Sci-Fi",tt1424381,107.0,6.4,127233108,52000688,40000000
565,Temptation: Confessions of a Marriage Counselor,"Drama, Thriller",tt2070862,111.0,5.0,53143144,51975354,0
566,The Call,"Crime, Drama, Horror",tt1911644,94.0,6.7,68572631,51872378,13000000
567,The Odd Life of Timothy Green,"Comedy, Drama, Family",tt1462769,105.0,6.6,56012642,51853450,25000000
568,Ghost Rider: Spirit of Vengeance,"Action, Fantasy, Thriller",tt1071875,96.0,4.3,132563930,51774002,57000000
569,Lion,"Biography, Drama",tt3741834,118.0,8.1,140312928,51739495,12000000
570,Atomic Blonde,"Action, Thriller",tt2406566,115.0,6.7,100014025,51687870,30000000
571,The Grey,"Action, Adventure, Drama",tt1601913,117.0,6.8,79781695,51580136,25000000
572,American Made,"Action, Biography, Comedy",tt3532216,115.0,7.2,134866593,51342000,50000000
573,Muppets Most Wanted,"Adventure, Comedy, Crime",tt2281587,107.0,6.4,80383113,51183113,50000000
574,The Predator,"Action, Adventure, Sci-Fi",tt3829266,107.0,5.4,160542134,51024708,88000000
575,Ouija,"Horror, Mystery, Thriller",tt1204977,89.0,4.5,103590271,50856010,5000000
576,The Boxtrolls,"Animation, Adventure, Comedy",tt0787474,96.0,6.8,108255770,50837305,60000000
577,The Dark Tower,"Action, Adventure, Fantasy",tt1648190,95.0,5.7,113231078,50701325,60000000
578,Jack Ryan: Shadow Recruit,"Action, Drama, Thriller",tt1205537,105.0,6.2,135503748,50577412,60000000
579,If I Stay,"Drama, Fantasy, Music",tt1355630,107.0,6.8,78274843,50474843,11000000
580,Overboard,"Comedy, Romance",tt1563742,112.0,5.9,91244913,50316123,12000000
581,Hot Tub Time Machine,"Comedy, Sci-Fi",tt1231587,101.0,6.4,64735752,50287556,36000000
582,The Book of Life,"Animation, Adventure, Comedy",tt2262227,95.0,7.3,99783556,50151543,50000000
583,Sicario: Day of the Soldado,"Action, Adventure, Crime",tt5052474,122.0,7.1,75837743,50072235,35000000
584,Red Tails,"Action, Drama, History",tt0485985,125.0,5.9,50365498,49876377,58000000
585,Pain & Gain,"Action, Comedy, Crime",tt1980209,129.0,6.4,87305549,49875291,25000000
586,BlacKkKlansman,"Biography, Crime, Drama",tt7349662,135.0,7.5,93400823,49275340,15000000
587,The Possession,"Horror, Mystery, Thriller",tt0431021,92.0,5.9,85446075,49130154,14000000
588,Diary of a Wimpy Kid: Dog Days,"Comedy, Family",tt2023453,94.0,6.3,77229695,49008662,10000000
589,Lady Bird,"Comedy, Drama",tt4925292,94.0,7.4,78965611,48958273,10000000
590,I Feel Pretty,"Comedy, Romance",tt6791096,110.0,5.4,94539426,48795601,32000000
591,Isn't It Romantic,"Comedy, Fantasy, Romance",tt2452244,89.0,5.9,48791187,48791187,0
592,About Last Night,"Comedy, Romance",tt1826590,100.0,6.1,50445860,48637684,12500000
593,The Dilemma,"Comedy, Drama",tt1578275,111.0,5.3,69721966,48475290,70000000
594,The Huntsman: Winter's War,"Action, Adventure, Drama",tt2381991,114.0,6.1,164989338,48390190,115000000
595,Sinister,"Horror, Mystery, Thriller",tt1922777,110.0,6.8,82515113,48086903,3000000
596,Kick-Ass,"Action, Comedy, Crime",tt1250777,117.0,7.6,96188903,48071303,28000000
597,Kubo and the Two Strings,"Animation, Action, Adventure",tt4302938,101.0,7.8,76249438,48023088,60000000
598,Vice,"Biography, Comedy, Drama",tt3480796,96.0,4.2,76073488,47836282,10000000
599,Manchester by the Sea,Drama,tt4034228,137.0,7.8,78988148,47695120,9000000
600,Into the Storm,"Action, Adventure, Drama",tt2106361,89.0,5.8,161502194,47602194,50000000
601,Poltergeist,"Horror, Thriller",tt1029360,93.0,4.9,95437994,47425125,35000000
602,Jupiter Ascending,"Action, Adventure, Sci-Fi",tt1617661,127.0,5.3,183887723,47387723,176000003
603,Savages,"Crime, Drama, Thriller",tt1615065,131.0,6.5,82966152,47382068,45000000
604,Warcraft,"Action, Adventure, Fantasy",tt0803096,123.0,6.9,439048914,47365290,160000000
605,Boo 2! A Madea Halloween,"Comedy, Drama, Horror",tt6217804,101.0,3.8,48333932,47319572,25000000
606,The Judge,"Crime, Drama",tt1872194,141.0,7.4,23127,47119388,50000000
607,The Judge,"Crime, Drama",tt1872194,141.0,7.4,23127,47119388,50000000
608,Killers,"Action, Comedy, Romance",tt1103153,100.0,5.4,5248,47059963,75000000
609,Jersey Boys,"Biography, Drama, Music",tt1742044,134.0,6.8,67647013,47034272,40000000
610,Sicario,"Action, Crime, Drama",tt3397884,121.0,7.6,84872444,46889293,30000000
611,Red Sparrow,"Action, Drama, Thriller",tt2873282,140.0,6.6,151572634,46874505,69000000
612,How to Be Single,"Comedy, Drama, Romance",tt1292566,110.0,6.1,112343513,46843513,38000000
613,Goosebumps 2: Haunted Halloween,"Adventure, Comedy, Family",tt5664636,90.0,5.6,93320380,46700633,35000000
614,Arthur Christmas,"Animation, Adventure, Comedy",tt1430607,97.0,7.1,147419472,46462469,10000000
615,The Best Exotic Marigold Hotel,"Comedy, Drama, Romance",tt1412386,124.0,7.3,136836156,46412041,10000000
616,Breaking In,"Action, Crime, Drama",tt7137846,88.0,5.4,51411620,46383120,6000000
617,Blended,"Comedy, Romance",tt1086772,117.0,6.5,127994610,46294610,40000000
618,Mike and Dave Need Wedding Dates,"Comedy, Romance",tt2823054,98.0,6.0,77068246,46007113,33000000
619,Gangster Squad,"Action, Crime, Drama",tt1321870,113.0,6.7,105200903,46000903,60000000
620,Snatched,"Action, Adventure, Comedy",tt1245534,81.0,5.5,60845711,45825314,0
621,Five Feet Apart,"Drama, Romance",tt6472976,116.0,7.2,91522094,45729221,5000000
622,The Great Wall,"Action, Adventure, Fantasy",tt2034800,103.0,6.0,334933831,45540830,150000000
623,Moonrise Kingdom,"Comedy, Drama, Romance",tt1748122,94.0,7.8,68263166,45512466,16000000
624,12 Strong,"Action, Drama, History",tt1413492,130.0,6.6,67450815,45495662,35000000
625,The Man from U.N.C.L.E.,"Action, Adventure, Comedy",tt1638355,116.0,7.3,107045109,45445109,75000000
626,Ma,"Horror, Mystery, Thriller",tt4410770,80.0,5.9,61105672,45373120,0
627,Here Comes the Boom,"Action, Comedy, Sport",tt1648179,105.0,6.4,73100172,45290318,0
628,Wonder Park,"Animation, Adventure, Comedy",tt6428676,85.0,5.7,119559110,45216793,100000000
629,The Giver,"Drama, Romance, Sci-Fi",tt0435651,97.0,6.5,66980456,45089048,25000000
630,Hall Pass,"Comedy, Romance",tt0480687,105.0,5.9,86157237,45060734,36000000
631,Spotlight,"Biography, Crime, Drama",tt1895587,129.0,8.1,98690254,45055776,20000000
632,Smurfs: The Lost Village,"Animation, Adventure, Comedy",tt2398241,90.0,6.0,197183546,45020282,60000000
633,Going in Style,"Comedy, Crime",tt2568862,96.0,6.6,84918541,45003463,25000000
634,Den of Thieves,"Action, Crime, Drama",tt1259528,140.0,7.0,80509622,44947622,30000000
635,First Man,"Biography, Drama, History",tt1213641,141.0,7.4,105697415,44936545,70000000
636,All Eyez on Me,"Biography, Drama, Music",tt1666185,139.0,5.8,55668698,44922302,40000000
637,xXx: Return of Xander Cage,"Action, Adventure, Thriller",tt1293847,107.0,5.2,346118277,44898413,85000000
638,Cop Out,"Action, Comedy, Crime",tt1385867,107.0,5.6,55611001,44875481,30000000
639,Red Dawn,"Action, Adventure, Crime",tt1234719,93.0,5.4,50950296,44806783,65000000
640,The Internship,Comedy,tt2234155,119.0,6.3,93492844,44672764,58000000
641,The Artist,"Comedy, Drama, Romance",tt1655442,100.0,7.9,133432856,44671682,15000000
642,"McFarland, USA","Biography, Drama, Sport",tt2097298,129.0,7.4,45710059,44469602,0
643,Instructions Not Included,"Comedy, Drama",tt2378281,115.0,7.6,100486616,44467206,5500000
644,The Three Stooges,"Comedy, Family",tt0383010,92.0,5.1,54819301,44338224,30000000
645,47 Meters Down,"Adventure, Drama, Horror",tt2932536,89.0,5.6,62187529,44307191,5500000
646,St. Vincent,"Comedy, Drama",tt2170593,102.0,7.3,54837234,44134898,13000000
647,Hereditary,"Drama, Horror, Mystery",tt7784604,127.0,7.3,80200936,44069456,10000000
648,Soul Surfer,"Biography, Drama, Family",tt1596346,112.0,7.1,47120948,43853424,18000000
649,Cats & Dogs: The Revenge of Kitty Galore,"Action, Comedy, Family",tt1287468,82.0,4.3,112483764,43585753,85000000
650,Need for Speed,"Action, Crime, Thriller",tt2369135,132.0,6.5,203277636,43577636,66000000
651,Everest,"Action, Adventure, Biography",tt2719848,121.0,7.1,203427584,43482270,55000000
652,Edge of Darkness,"Crime, Drama, Mystery",tt1226273,117.0,6.6,81126522,43313890,80000000
653,Sherlock Gnomes,"Animation, Adventure, Comedy",tt2296777,86.0,5.1,90497778,43242871,59000000
654,A Million Ways to Die in the West,"Comedy, Western",tt2557490,116.0,6.1,87189756,43139300,40000000
655,John Wick,"Action, Crime, Thriller",tt2911666,101.0,7.4,86013056,43037835,20000000
656,The Night Before,"Comedy, Fantasy",tt3530002,101.0,6.4,52395996,43035725,25000000
657,War Dogs,"Biography, Comedy, Crime",tt2005151,114.0,7.1,86234523,43017433,40000000
658,Snitch,"Action, Drama, Thriller",tt0882977,112.0,6.5,57824674,42930462,35000000
659,The Big Sick,"Comedy, Drama, Romance",tt5462602,120.0,7.6,56411585,42872467,5000000
660,Gulliver's Travels,"Adventure, Comedy, Family",tt1320261,85.0,4.9,237382724,42779261,112000000
661,Death at a Funeral,Comedy,tt1321509,92.0,5.7,49050886,42739347,21000000
662,Max,"Adventure, Drama, Family",tt2390281,83.0,5.1,43967255,42652003,0
663,Krampus,"Comedy, Drama, Fantasy",tt3850590,98.0,6.2,61548707,42592530,15000000
664,Final Destination 5,"Horror, Thriller",tt1622979,92.0,5.9,157887643,42587643,47000000
665,The Age of Adaline,"Drama, Fantasy, Romance",tt1655441,112.0,7.2,65663276,42478175,25000000
666,Uncle Drew,"Comedy, Sport",tt7334528,103.0,5.7,46664414,42469946,19000000
667,Widows,"Crime, Drama, Thriller",tt1785670,100.0,6.3,75984700,42402632,0
668,Step Up 3D,"Drama, Music, Romance",tt1193631,107.0,6.2,159291809,42400223,30000000
669,Resident Evil: Retribution,"Action, Adventure, Fantasy",tt1855325,95.0,5.4,240159255,42345531,65000000
670,Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",tt2562232,119.0,7.7,103215094,42340598,18000000
671,Riddick,"Action, Adventure, Sci-Fi",tt1411250,119.0,6.4,98337295,42025135,38000000
672,Dolphin Tale 2,"Drama, Family",tt2978462,107.0,6.4,57824533,42019483,36000000
673,A Dog's Way Home,"Adventure, Drama, Family",tt7616798,96.0,6.7,80708134,41952715,18000000
674,Almost Christmas,"Comedy, Drama",tt4649416,111.0,6.1,42580920,41715860,17000000
675,Valerian and the City of a Thousand Planets,"Action, Adventure, Family",tt2239822,137.0,6.5,225874228,41189488,177200000
676,What to Expect When You're Expecting,"Comedy, Drama, Romance",tt1586265,110.0,5.7,84384002,41152203,40000000
677,The Last Exorcism,"Horror, Mystery, Thriller",tt1320244,87.0,5.6,69432527,41034350,1800000
678,Money Monster,"Crime, Drama, Thriller",tt2241351,98.0,6.5,93282604,41012075,27000000
679,End of Watch,"Action, Crime, Drama",tt1855199,109.0,7.6,55078146,41003371,7000000
680,The Ides of March,"Drama, Thriller",tt1124035,101.0,7.1,76338111,40962534,12500000
681,The Star,"Animation, Adventure, Comedy",tt4587656,86.0,6.1,62812974,40852824,10000000
682,"Love, Simon","Comedy, Drama, Romance",tt5164432,110.0,7.6,66316289,40826341,17000000
683,Breakthrough,"Biography, Drama",tt7083526,116.0,5.8,50444358,40713082,0
684,Little,"Comedy, Fantasy, Romance",tt8085790,109.0,5.3,48987096,40673960,20000000
685,Ghost in the Shell,"Action, Crime, Drama",tt1219827,107.0,6.4,169801921,40563557,110000000
686,Paddington 2,"Adventure, Comedy, Family",tt4468740,103.0,7.9,227978523,40442052,40000000
687,Hanna,"Action, Drama, Thriller",tt0993842,111.0,6.8,63782078,40259119,30000000
688,Legion,"Action, Adventure, Fantasy",tt1038686,100.0,5.2,67918658,40168080,26000000
689,Allied,"Action, Drama, Romance",tt3640424,124.0,7.1,119520023,40098064,85000000
690,A Haunted House,"Comedy, Fantasy",tt2243537,86.0,5.1,60159584,40041683,2500000
691,Burlesque,"Drama, Music, Musical",tt1126591,119.0,6.4,89519773,39440655,55000000
692,The Expendables 3,"Action, Adventure, Thriller",tt2333784,126.0,6.1,214657577,39322544,90000000
693,Second Act,"Comedy, Drama, Romance",tt2126357,103.0,5.8,72282227,39282227,16000000
694,King Arthur: Legend of the Sword,"Action, Adventure, Drama",tt1972591,126.0,6.8,148675066,39175066,175000000
695,The Crazies,"Horror, Thriller",tt0455407,101.0,6.5,54806823,39123589,20000000
696,Something Borrowed,"Comedy, Drama, Romance",tt0491152,112.0,5.9,65100369,39046489,35000000
697,Crawl,"Drama, Horror, Thriller",tt1848832,80.0,4.7,91542097,39014193,0
698,Earth to Echo,"Adventure, Family, Sci-Fi",tt2183034,91.0,5.8,45681062,38916903,13000000
699,Nerve,"Adventure, Crime, Drama",tt1772317,83.0,6.8,85251425,38562379,27500
700,Sex Tape,"Comedy, Romance",tt1956620,94.0,5.1,126069509,38543473,40000000
701,Rock of Ages,"Comedy, Drama, Musical",tt1336608,123.0,5.9,59418613,38518613,75000000
702,47 Ronin,"Action, Drama, Fantasy",tt1335975,128.0,6.3,151783839,38362475,175000000
703,Brooklyn,"Drama, Romance",tt2381111,117.0,7.5,62076141,38317535,11000000
704,Scream 4,"Horror, Mystery",tt1262416,111.0,6.2,97138686,38180928,40000000
705,Jigsaw,"Crime, Horror, Mystery",tt3348730,92.0,5.8,102952888,38052832,10000000
706,"Big Mommas: Like Father, Like Son","Action, Comedy, Crime",tt1464174,107.0,4.4,82686066,37915414,32000000
707,Wild,"Biography, Drama",tt2305051,115.0,7.1,52501541,37880356,15000000
708,August: Osage County,"Comedy, Drama",tt1322269,121.0,7.2,74188937,37738503,25000000
709,For Colored Girls,Drama,tt1405500,133.0,6.1,37981984,37721949,0
710,Philomena,"Biography, Comedy, Drama",tt2431286,98.0,7.6,100129872,37707719,12000000
711,Red Riding Hood,"Fantasy, Horror, Mystery",tt1486185,100.0,5.5,90260376,37662162,42000000
712,In Time,"Action, Sci-Fi, Thriller",tt1637688,109.0,6.7,173930596,37520095,40000000
713,Abraham Lincoln: Vampire Hunter,"Action, Fantasy, Horror",tt1611224,105.0,5.9,116471580,37519139,69000000
714,The Back-up Plan,"Comedy, Romance",tt1212436,104.0,5.4,77477008,37490007,35000000
715,The Longest Ride,"Drama, Romance",tt2726560,123.0,7.1,62944815,37446117,34000000
716,Paul,"Adventure, Comedy, Sci-Fi",tt1092026,104.0,7.0,97984015,37412945,40000000
717,Lawless,"Crime, Drama",tt1212450,116.0,7.3,55404159,37400127,26000000
718,J. Edgar,"Biography, Drama, Romance",tt1616195,137.0,6.6,84920539,37306030,35000000
719,The Roommate,"Drama, Mystery, Thriller",tt1265990,91.0,4.9,40492652,37300107,16000000
720,Jumping the Broom,"Comedy, Drama",tt1640484,112.0,5.7,38158601,37295394,6600000
721,The Change-Up,"Comedy, Fantasy",tt1488555,112.0,6.3,75450437,37243418,52000000
722,The Guilt Trip,"Comedy, Drama",tt1694020,95.0,5.8,41863726,37134215,40000000
723,30 Minutes or Less,"Action, Comedy, Crime",tt1622547,83.0,6.1,40662632,37053924,28000000
724,That's My Boy,Comedy,tt1232200,116.0,5.6,57719093,36931089,70000000
725,The Family,"Comedy, Crime, Thriller",tt1728973,88.0,5.0,3696,36918811,200000
726,Risen,"Action, Drama, History",tt0850709,121.0,5.3,46432579,36874745,0
727,Colombiana,"Action, Drama, Thriller",tt1657507,108.0,6.4,63458440,36665854,40000000
728,Vampires Suck,Comedy,tt1666186,82.0,3.4,80547866,36661504,20000000
729,Million Dollar Arm,"Biography, Drama, Sport",tt1647668,124.0,7.0,38483455,36447959,25000000
730,Sucker Punch,"Action, Adventure, Fantasy",tt0978764,110.0,6.1,89792502,36392502,82000000
731,The Commuter,"Action, Mystery, Thriller",tt1590193,105.0,6.3,119942387,36343858,30000000
732,The Nice Guys,"Action, Comedy, Crime",tt3799694,116.0,7.4,62788218,36261763,50000000
733,The 15:17 to Paris,"Biography, Drama, Thriller",tt6802308,94.0,5.2,57076286,36250957,30000000
734,American Assassin,"Action, Thriller",tt1961175,112.0,6.2,67234188,36249674,33000000
735,Mile 22,"Action, Thriller",tt4560436,94.0,6.1,66308758,36108758,35000000
736,Walking with Dinosaurs 3D,"Animation, Adventure, Family",tt1762399,87.0,5.2,126546518,36076121,80000000
737,The Theory of Everything,"Biography, Drama, Romance",tt2980516,123.0,7.7,123726688,35893537,15000000
738,Alpha,"Action, Adventure, Drama",tt2121250,116.0,5.5,98203196,35851379,0
739,The Boy,"Horror, Mystery, Thriller",tt2443822,105.0,5.4,64188367,35819556,0
740,Trouble with the Curve,"Drama, Sport",tt2083383,111.0,6.8,48963137,35763137,0
741,Larry Crowne,"Comedy, Drama, Romance",tt1583420,98.0,6.1,75055070,35608245,30000000
742,The American,"Crime, Drama, Thriller",tt1440728,105.0,6.3,67876281,35606376,20000000
743,Dirty Grandpa,Comedy,tt1860213,102.0,5.9,94073028,35593113,11500000
744,The Intruder,"Drama, Horror, Mystery",tt1773741,106.0,4.3,36599361,35419122,0
745,Peppermint,"Action, Drama, Thriller",tt6850820,101.0,6.5,53918723,35418723,25000000
746,The Hustle,"Comedy, Crime",tt1298644,93.0,5.3,95017038,35417038,0
747,The Boy Next Door,"Horror, Thriller",tt3181822,91.0,4.7,52425855,35385560,4000000
748,The Watch,"Comedy, Sci-Fi",tt1298649,102.0,5.7,68267862,35353000,68000000
749,Frankenweenie,"Animation, Comedy, Family",tt1142977,87.0,7.0,81491068,35291068,39000000
750,Carrie,"Drama, Horror",tt1939659,100.0,5.9,84790678,35266619,30000000
751,Pan,"Adventure, Comedy, Family",tt3332064,111.0,5.8,128388320,35088320,150000000
752,Step Up Revolution,"Drama, Music, Romance",tt1800741,99.0,6.5,140470746,35074677,33000000
753,Drive,"Crime, Drama",tt0780504,100.0,7.8,76976666,35061555,15000000
754,Good Deeds,"Comedy, Drama, Romance",tt1885265,110.0,5.5,35579177,35025791,0
755,50/50,"Comedy, Drama, Romance",tt1306980,100.0,7.7,41097853,35014192,8000000
756,The 5th Wave,"Action, Adventure, Drama",tt2304933,112.0,5.2,109906372,34916787,38000000
757,Ouija: Origin of Evil,"Drama, Horror, Mystery",tt4361050,99.0,6.1,81705746,34904885,9000000
758,Concussion,"Biography, Drama, Sport",tt2296697,96.0,5.7,48623572,34542474,0
759,Concussion,"Biography, Drama, Sport",tt2296697,96.0,5.7,48623572,34542474,0
760,Courageous,"Drama, Fantasy",tt1630036,129.0,7.0,35185884,34522221,1000000
761,Hot Pursuit,"Action, Comedy, Crime",tt2967224,87.0,5.1,51380201,34507079,35000000
762,The Foreigner,"Action, Thriller",tt1615160,113.0,7.0,145374099,34393507,35000000
763,The Favourite,"Biography, Comedy, Drama",tt5083738,119.0,7.6,95918706,34366783,15000000
764,Inferno,"Action, Adventure, Crime",tt1686470,100.0,6.3,220021259,34343574,0
765,Texas Chainsaw 3D,"Horror, Thriller",tt1572315,92.0,4.8,47340586,34341945,10000000
766,This Is Where I Leave You,"Comedy, Drama",tt1371150,103.0,6.6,41296320,34290142,19800000
767,The Duff,"Comedy, Romance",tt1666801,101.0,6.5,43709744,34017854,8500000
768,Death Wish,"Action, Crime, Drama",tt1137450,107.0,6.4,49562710,34017028,30000000
769,"Everything, Everything","Drama, Romance",tt5001718,96.0,6.4,61621140,34000284,10000000
770,Wind River,"Crime, Drama, Mystery",tt5362988,107.0,7.7,43980821,33800859,11000000
771,Geostorm,"Action, Sci-Fi, Thriller",tt1981128,109.0,5.3,221600160,33700160,120000000
772,Marmaduke,"Comedy, Family",tt1392197,87.0,4.2,83761844,33644788,50000000
773,R.I.P.D.,"Action, Adventure, Comedy",tt0790736,96.0,5.6,78324220,33618855,130000000
774,Devil,"Horror, Mystery, Thriller",tt1314655,80.0,6.2,62695489,33583175,10000000
775,The Spy Who Dumped Me,"Action, Adventure, Comedy",tt6663582,117.0,6.0,75320680,33562069,40000000
776,2016: Obama's America,Documentary,tt2247692,87.0,5.1,33449086,33449086,2500000
777,Blue Jasmine,Drama,tt2334873,98.0,7.3,99104804,33405481,18000000
778,Monster Trucks,"Action, Adventure, Comedy",tt3095734,104.0,5.7,64493915,33370166,125000000
779,Woman in Gold,"Biography, Drama, History",tt2404425,109.0,7.3,61619773,33305037,11000000
780,The Second Best Exotic Marigold Hotel,"Comedy, Drama",tt2555736,122.0,6.6,85978266,33078266,10000000
781,The Rite,"Drama, Horror, Mystery",tt1161864,114.0,6.0,96560591,33047633,37000000
782,Arthur,"Comedy, Romance",tt1334512,110.0,5.7,48147945,33035397,40000000
783,Hereafter,"Drama, Fantasy, Romance",tt1212419,129.0,6.5,106956330,32746941,50000000
784,Annihilation,"Adventure, Drama, Horror",tt2798920,115.0,6.9,43070915,32732301,40000000
785,When in Rome,"Comedy, Romance",tt1185416,91.0,5.6,43053376,32669555,55000000
786,Unfriended,"Horror, Mystery, Thriller",tt3713166,83.0,5.6,62882090,32482090,1000000
787,Mother's Day,"Comedy, Drama, Romance",tt1434435,112.0,6.3,48782670,32463917,11000000
788,Paranormal Activity: The Marked Ones,"Horror, Mystery, Thriller",tt2473682,84.0,5.0,90894962,32462372,5000000
789,Nightcrawler,"Crime, Drama, Thriller",tt2872718,117.0,7.9,47398992,32381218,8500000
790,Love & Other Drugs,"Comedy, Drama, Romance",tt0758752,112.0,6.7,102820008,32367005,30000000
791,Entourage,Comedy,tt1674771,104.0,6.6,49263404,32363404,30000000
792,Kevin Hart: Let Me Explain,"Documentary, Comedy",tt2609912,75.0,6.8,32318051,32244051,0
793,Fist Fight,Comedy,tt3401882,91.0,5.6,41087017,32187017,22000000
794,Side Effects,"Crime, Drama, Mystery",tt2053463,106.0,7.1,63414135,32172757,30000000
795,Cold Pursuit,"Action, Crime, Drama",tt5719748,119.0,6.2,76419755,32138862,60000000
796,How to Be a Latin Lover,"Comedy, Drama",tt4795124,115.0,5.9,62547032,32088029,0
797,Scary Movie 5,"Comedy, Horror",tt0795461,86.0,3.5,78378744,32015787,20000000
798,Isle of Dogs,"Animation, Adventure, Comedy",tt1588362,90.0,3.8,64241499,32015231,0
799,Paper Towns,"Comedy, Drama, Mystery",tt3622592,109.0,6.3,85512300,32000304,12000000
800,Patriots Day,"Action, Crime, Drama",tt4572514,133.0,7.4,52185751,31886361,45000000
801,Extremely Loud & Incredibly Close,"Adventure, Drama, Mystery",tt0477302,129.0,6.9,55247881,31847881,40000000
802,Nobody's Fool,"Comedy, Drama, Romance",tt8097306,110.0,4.6,33705333,31713110,19000000
803,House at the End of the Street,"Drama, Horror, Thriller",tt1582507,101.0,5.6,44287131,31611916,6900000
804,She's Out of My League,"Comedy, Romance",tt0815236,104.0,6.4,49779728,31584722,20000000
805,Chappie,"Action, Crime, Drama",tt1823672,120.0,6.8,102811889,31569268,49000000
806,Scott Pilgrim vs. the World,"Action, Comedy, Fantasy",tt0446029,112.0,7.5,47664559,31494270,60000000
807,The Debt,"Drama, Thriller",tt1226753,113.0,6.9,45636368,31177548,20000000
808,The Mortal Instruments: City of Bones,"Action, Adventure, Fantasy",tt1538403,130.0,5.9,95396573,31165421,60000000
